"compname","MLRARSYM","Count","total","percentmlra","ctotal","affinity"
"Adrian","111A",53538,103233144,0.0518612510726206,9.3701512333603,0.55
"Adrian","111E",291,29389481,0.000990150183325796,9.3701512333603,0.01
"Adrian","142",18420,51240559,0.0359480855780672,9.3701512333603,0.38
"Adyeville","120B",2802112,24321372,11.5211921432722,12.0390457365301,95.7
"Adyeville","122",95996,192403601,0.0498930370851011,12.0390457365301,0.41
"Adyeville","114A",111946,24974392,0.44824314441769,12.0390457365301,3.72
"Adyeville","120C",1438,9696412,0.0148302279234835,12.0390457365301,0.12
"Adyeville","115",1618,33107001,0.00488718383160106,12.0390457365301,0.04
"Aeric Endoaqualfs","127",9654,183662793,0.00525637220381376,0.00525637220381376,100
"Aeric Endoaquents","149B",148,20420367,0.0007247666018931,0.000763228525368355,94.96
"Aeric Endoaquents","144A",75,194998048,3.84619234752545e-05,0.000763228525368355,5.04
"Aeric Endoaquepts","144A",1677,194998048,0.00086000860890669,0.0054573653930813,15.76
"Aeric Endoaquepts","140",1223,203269067,0.00060166557462479,0.0054573653930813,11.02
"Aeric Endoaquepts","149B",801,20420367,0.00392255437916468,0.0054573653930813,71.88
"Aeric Endoaquepts","147",130,177749021,7.31368303851305e-05,0.0054573653930813,1.34
"Aeric Endoaquults","125",2215,72179215,0.00306875047061678,0.00309292794663002,99.22
"Aeric Endoaquults","121",29,119946350,2.41774760132343e-05,0.00309292794663002,0.78
"Aeric Epiaquents","111B",20585,91807049,0.0224220255679932,0.671056798672114,3.34
"Aeric Epiaquents","111A",2074,103233144,0.00200904469208068,0.671056798672114,0.3
"Aeric Epiaquents","127",26496,183662793,0.0144264385655945,0.671056798672114,2.15
"Aeric Epiaquents","124",10378,127505241,0.00813927327112773,0.671056798672114,1.21
"Aeric Epiaquents","111E",183408,29389481,0.624060016575318,0.671056798672114,93
"Aeric Epiaquepts","101",24703,72267250,0.0341828421587925,0.0366255068768066,93.33
"Aeric Epiaquepts","143",1832,493943103,0.000370892920434198,0.0366255068768066,1.01
"Aeric Epiaquepts","144A",2364,194998048,0.00121231982794002,0.0366255068768066,3.31
"Aeric Epiaquepts","140",1747,203269067,0.000859451969639827,0.0366255068768066,2.35
"Aeric Haplaquods","96",274915,44104308,0.623329131476227,0.623329131476227,100
"Aetna","111E",68111,29389481,0.231752986723379,0.253599191363467,91.39
"Aetna","111A",4080,103233144,0.00395221906638821,0.253599191363467,1.56
"Aetna","108",1633,51640704,0.00316223419417365,0.253599191363467,1.25
"Aetna","124",16265,127505241,0.0127563383845532,0.253599191363467,5.03
"Aetna","115",654,33107001,0.00197541299497348,0.253599191363467,0.78
"Agawam","143",110789,493943103,0.0224295064202972,4.84939702650718,0.46
"Agawam","142",109500,51240559,0.21369790286636,4.84939702650718,4.41
"Agawam","101",5081,72267250,0.00703084730635246,4.84939702650718,0.14
"Agawam","144A",2262254,194998048,1.16014186972784,4.84939702650718,23.92
"Agawam","140",82,203269067,4.03406190672386e-05,4.84939702650718,0
"Agawam","144B",593679,331949767,0.178846036063041,4.84939702650718,3.69
"Agawam","141",143,9138474,0.00156481268097934,4.84939702650718,0.03
"Agawam","145",696243,24898413,2.79633485073928,4.84939702650718,57.66
"Agawam","149B",95835,20420367,0.469310860083954,4.84939702650718,9.68
"Agee","125",9146,72179215,0.0126712378348809,0.380541836042504,3.33
"Agee","122",954,192403601,0.000495832715729681,0.380541836042504,0.13
"Agee","123",151858,41335991,0.367374765491893,0.380541836042504,96.54
"Airmont","148",22829,99448051,0.0229557037774426,0.941021147254021,2.44
"Airmont","130A",106150,11575167,0.917049404125228,0.941021147254021,97.45
"Airmont","147",1806,177749021,0.00101603935135035,0.941021147254021,0.11
"Alanthus","130A",9385,11575167,0.0810787438315145,0.186003803198377,43.59
"Alanthus","136",168,11412644,0.00147205152460727,0.186003803198377,0.79
"Alanthus","148",102882,99448051,0.103453007842255,0.186003803198377,55.62
"Albano","136",60,11412644,0.000525732687359739,0.889612336409725,0.06
"Albano","148",883990,99448051,0.888896253984907,0.889612336409725,99.92
"Albano","130A",12,11575167,0.000103670210546422,0.889612336409725,0.01
"Albano","149A",27,31149224,8.66795269121311e-05,0.889612336409725,0.01
"Albemarle","136",3839,11412644,0.0336381297795673,0.11135854547044,30.21
"Albemarle","148",60349,99448051,0.0606839444244111,0.11135854547044,54.49
"Albemarle","130A",1972,11575167,0.0170364712664621,0.11135854547044,15.3
"Albrights","147",976294,177749021,0.549254220646312,1.09880466645644,49.99
"Albrights","127",935205,183662793,0.509196764747011,1.09880466645644,46.34
"Albrights","148",502,99448051,0.000504786162174259,1.09880466645644,0.05
"Albrights","144A",41721,194998048,0.0213955987908146,1.09880466645644,1.95
"Albrights","126",16015,164009984,0.00976464944963351,1.09880466645644,0.89
"Albrights","144B",43,331949767,1.29537671885156e-05,1.09880466645644,0
"Albrights","140",17635,203269067,0.00867569289330186,1.09880466645644,0.79
"Alcona","94C",44614,33684714,0.132445832848692,0.861625979421703,15.37
"Alcona","96",309786,44104308,0.702393970221684,0.861625979421703,81.52
"Alcona","94A",22190,91610663,0.0242220711796399,0.861625979421703,2.81
"Alcona","98",4488,175031822,0.00256410517168701,0.861625979421703,0.3
