"dmuiid"	"region"
148543	"r12"
148544	"r12"
148545	"r12"
148546	"r12"
148547	"r12"
148548	"r12"
148549	"r12"
148550	"r12"
148551	"r12"
148552	"r12"
148553	"r12"
148554	"r12"
148555	"r12"
148556	"r12"
148557	"r12"
148558	"r12"
148559	"r12"
148560	"r12"
148561	"r12"
148562	"r12"
148563	"r12"
148564	"r12"
148565	"r12"
148566	"r12"
148567	"r12"
148568	"r12"
148569	"r12"
148570	"r12"
148571	"r12"
148572	"r12"
148573	"r12"
148574	"r12"
148576	"r12"
148577	"r12"
148578	"r12"
148579	"r12"
148580	"r12"
148581	"r12"
148582	"r12"
148583	"r12"
148584	"r12"
148585	"r12"
148586	"r12"
148587	"r12"
148588	"r12"
148589	"r12"
148590	"r12"
148591	"r12"
148592	"r12"
148593	"r12"
148594	"r12"
148595	"r12"
148596	"r12"
148597	"r12"
148598	"r12"
148599	"r12"
148600	"r12"
148601	"r12"
148602	"r12"
148603	"r12"
148604	"r12"
148605	"r12"
148606	"r12"
436822	"r12"
148607	"r12"
165635	"r12"
165636	"r12"
147424	"r12"
165637	"r12"
165638	"r12"
147425	"r12"
165639	"r12"
165640	"r12"
165641	"r12"
165642	"r12"
165643	"r12"
165644	"r12"
165645	"r12"
165646	"r12"
147426	"r12"
165647	"r12"
165648	"r12"
165649	"r12"
165650	"r12"
165651	"r12"
165652	"r12"
465339	"r12"
165658	"r12"
366579	"r12"
147428	"r12"
147433	"r12"
147434	"r12"
165664	"r12"
165665	"r12"
165666	"r12"
165667	"r12"
165668	"r12"
165669	"r12"
165670	"r12"
147435	"r12"
165671	"r12"
147436	"r12"
165672	"r12"
165673	"r12"
147437	"r12"
147438	"r12"
165674	"r12"
165675	"r12"
165676	"r12"
165677	"r12"
147440	"r12"
147441	"r12"
147442	"r12"
147443	"r12"
147444	"r12"
147445	"r12"
147446	"r12"
147447	"r12"
165681	"r12"
147448	"r12"
165683	"r12"
165684	"r12"
165685	"r12"
147455	"r12"
165686	"r12"
165687	"r12"
165688	"r12"
165689	"r12"
147456	"r12"
165690	"r12"
165691	"r12"
147457	"r12"
165692	"r12"
147458	"r12"
147459	"r12"
634361	"r12"
634362	"r12"
460937	"r12"
147462	"r12"
165696	"r12"
165697	"r12"
165698	"r12"
