"coiid","SiteID","nationalmusym","muname"
268271,"F096XB023MI","6820","Cosad loamy sand, 0 to 3 percent slopes"
268271,"F094AA009MI","6820","Cosad loamy sand, 0 to 3 percent slopes"
268271,"F098XA019MI","6820","Cosad loamy sand, 0 to 3 percent slopes"
268273,"F098XA018MI","6825","Pipestone sand, 0 to 4 percent slopes"
268273,"F096XB021MI","6825","Pipestone sand, 0 to 4 percent slopes"
268273,"F094AA007MI","6825","Pipestone sand, 0 to 4 percent slopes"
268273,"F097XA006MI","6825","Pipestone sand, 0 to 4 percent slopes"
268275,"F094AA012MI","682f","Cohoctah fine sandy loam"
268275,"F096XB026MI","682f","Cohoctah fine sandy loam"
268275,"F098XA004MI","682f","Cohoctah fine sandy loam"
268275,"F097XA027MI","682f","Cohoctah fine sandy loam"
268279,"F096XB018MI","67zg","Martisco muck"
268279,"F098XA012MI","67zg","Martisco muck"
268281,"F098XA011MI","6806","Selfridge-Capac complex, 0 to 5 percent slopes"
268280,"F094AA009MI","6806","Selfridge-Capac complex, 0 to 5 percent slopes"
268281,"F096XB017MI","6806","Selfridge-Capac complex, 0 to 5 percent slopes"
268281,"F097XA022MI","6806","Selfridge-Capac complex, 0 to 5 percent slopes"
268281,"F094AA003MI","6806","Selfridge-Capac complex, 0 to 5 percent slopes"
268280,"F097XA012MI","6806","Selfridge-Capac complex, 0 to 5 percent slopes"
268280,"F096XB023MI","6806","Selfridge-Capac complex, 0 to 5 percent slopes"
268280,"F098XA019MI","6806","Selfridge-Capac complex, 0 to 5 percent slopes"
268282,"F096XB017MI","6808","Dixboro loamy fine sand, 0 to 4 percent slopes"
268282,"F094AA003MI","6808","Dixboro loamy fine sand, 0 to 4 percent slopes"
268282,"F098XA011MI","6808","Dixboro loamy fine sand, 0 to 4 percent slopes"
268285,"F096XB028MI","680b","Napoleon peat"
268285,"F098XA007MI","680b","Napoleon peat"
268285,"F094AA014MI","680b","Napoleon peat"
268285,"F097XA031MI","680b","Napoleon peat"
268287,"F096XB019MI","680c","Spinks-Metea-Coloma complex, 1 to 6 percent slopes"
268288,"F096XB020MI","680c","Spinks-Metea-Coloma complex, 1 to 6 percent slopes"
268287,"F098XA013MI","680c","Spinks-Metea-Coloma complex, 1 to 6 percent slopes"
268288,"F098XA013MI","680c","Spinks-Metea-Coloma complex, 1 to 6 percent slopes"
268286,"F096XB019MI","680c","Spinks-Metea-Coloma complex, 1 to 6 percent slopes"
268288,"F094AA006MI","680c","Spinks-Metea-Coloma complex, 1 to 6 percent slopes"
268286,"F094AA006MI","680c","Spinks-Metea-Coloma complex, 1 to 6 percent slopes"
268287,"F094AA006MI","680c","Spinks-Metea-Coloma complex, 1 to 6 percent slopes"
268286,"F098XA013MI","680c","Spinks-Metea-Coloma complex, 1 to 6 percent slopes"
268289,"F096XB019MI","680d","Spinks-Metea-Coloma complex, 6 to 12 percent slopes"
268289,"F098XA013MI","680d","Spinks-Metea-Coloma complex, 6 to 12 percent slopes"
268289,"F097XA004MI","680d","Spinks-Metea-Coloma complex, 6 to 12 percent slopes"
268291,"F094AA006MI","680d","Spinks-Metea-Coloma complex, 6 to 12 percent slopes"
268291,"F098XA013MI","680d","Spinks-Metea-Coloma complex, 6 to 12 percent slopes"
