"","muiid","LRU","ncnesoil30m","MLRA.value","MLRA.total","Value","Count","percentmlra","pmlra","mu.total","affinity","best","ofbest"
"2875",172189,"111",172189,79,60797146,84849,291,0.000478640888833828,0.000478640888833828,0.01055544639152,4.53453952661212,89.8292564639178,5.04795397970764
"2879",172193,"111",172193,79,60797146,84956,4,6.57925620390141e-06,6.57925620390141e-06,0.0514061892252076,0.0127985682328602,99.9872014317671,0.01280020647602
"2881",172194,"111B",172194,91,30978541,84871,4,1.29121639395477e-05,1.29121639395477e-05,0.0344076374932426,0.0375270285327888,99.1355342960079,0.0378542656770651
"2886",172196,"111",172196,79,60797146,84783,471,0.000774707418009391,0.000774707418009391,0.0780520240642465,0.992552630501562,93.1921861853221,1.06505992737178
"2887",172196,"111B",172196,91,30978541,84873,733,0.00236615404192212,0.00236615404192212,0.0780520240642465,3.03150888178694,93.1921861853221,3.25296465924566
"2890",172197,"111",172197,79,60797146,84784,509,0.000837210351946455,0.000837210351946455,0.0370060590788118,2.26236019934856,88.7689441958231,2.54859424074914
"2891",172197,"111B",172197,91,30978541,84876,311,0.00100392074629983,0.00100392074629983,0.0370060590788118,2.71285506019915,88.7689441958231,3.05608575699022
"2990",175596,"111",175596,79,60797146,94615,474,0.000779641860162318,0.000779641860162318,0.133202946067783,0.585303766303774,95.2530926063949,0.614472192228307
"2993",175597,"111",175597,79,60797146,94684,202,0.000332252438297021,0.000332252438297021,0.017325252003618,1.91773509688423,78.5649944002665,2.44095364802537
"3014",184924,"111",184924,79,60797146,95153,1584,0.00260538545674496,0.00260538545674496,0.0860017123619091,3.02945765286751,96.7041376019252,3.13270737735962
"3015",184924,"111C",184924,90,7419931,95084,17,0.000229112642691691,0.000229112642691691,0.0860017123619091,0.266404745207337,96.7041376019252,0.275484329640548
"3017",184925,"111",184925,79,60797146,95253,713,0.00117275241834543,0.00117275241834543,0.188107726336958,0.623447234827914,99.0254861118331,0.629582604748672
"3018",184925,"111C",184925,90,7419931,95094,49,0.000660383499523109,0.000660383499523109,0.188107726336958,0.351066653338928,99.0254861118331,0.354521514736575
"3020",184926,"111",184926,79,60797146,95129,372,0.000611870826962831,0.000611870826962831,0.104564682394214,0.585160125725861,52.6252886049778,1.11193713371961
"3035",184932,"111C",184932,90,7419931,95088,889,0.0119812434913478,0.0119812434913478,0.11752607684563,10.1945404908608,89.8054595091393,11.3518048307779
"3037",184933,"111",184933,79,60797146,95124,1516,0.00249353810127864,0.00249353810127864,0.772843208196407,0.322644758320104,50.5723268513772,0.63798677736996
"3042",184935,"111",184935,79,60797146,95156,2230,0.00366793533367504,0.00366793533367504,0.0429555136939201,8.5389162374147,90.1747162213831,9.46930203412148
"3043",184935,"111C",184935,90,7419931,95177,41,0.000552565785315254,0.000552565785315254,0.0429555136939201,1.2863675412022,90.1747162213831,1.42652796161189
"3045",184936,"111",184936,79,60797146,95183,559,0.000919451054495223,0.000919451054495223,0.275039522303429,0.334297793566143,89.2039866543405,0.374756562015019
"3046",184936,"111C",184936,90,7419931,95081,2135,0.0287738524792212,0.0287738524792212,0.275039522303429,10.4617155520934,89.2039866543405,11.7278565055975
"3050",184939,"111",184939,79,60797146,95212,7,1.15136983568275e-05,1.15136983568275e-05,0.027604834836667,0.0417089920115517,53.3623739855952,0.0781617999656663
"3055",184943,"111",184943,79,60797146,95257,132,0.000217115454728747,0.000217115454728747,0.0489386429602318,0.443648294263446,56.0171882114771,0.791986010773295
"3063",184947,"111",184947,79,60797146,95266,436,0.000717138926225254,0.000717138926225254,0.34837055146314,0.205855208832464,93.507599299165,0.220148106009927
"3064",184947,"111C",184947,90,7419931,95107,1625,0.0219004731984704,0.0219004731984704,0.34837055146314,6.28654549200254,93.507599299165,6.72303164568431
"3066",184948,"111",184948,79,60797146,95123,379,0.000623384525319659,0.000623384525319659,0.246717331177928,0.25267155831468,53.1293847074113,0.475577798813532
"3072",184951,"111",184951,79,60797146,95275,209,0.000343766136653849,0.000343766136653849,0.0580779312043336,0.5919049276125,52.2817585512091,1.13214425837023
"3075",184952,"111",184952,79,60797146,95238,113,0.000185863987760215,0.000185863987760215,0.0352937384883314,0.526620289379841,81.3351006410684,0.647469893353689
"3078",184953,"111",184953,79,60797146,95165,60,9.86888430585212e-05,9.86888430585212e-05,0.00316774387905419,3.11542999770509,91.7791518407714,3.39448549612889
"3079",184953,"111C",184953,90,7419931,95083,12,0.000161726571311782,0.000161726571311782,0.00316774387905419,5.1054181615235,91.7791518407714,5.56272100921236
"3090",184958,"111",184958,79,60797146,95324,6,9.86888430585212e-06,9.86888430585212e-06,0.170310875780642,0.00579462953297421,99.6222801671776,0.00581659998471241
"3091",184958,"111C",184958,90,7419931,95109,47,0.000633429070971145,0.000633429070971145,0.170310875780642,0.37192520328942,99.6222801671776,0.373335365005987
"3093",184960,"111",184960,79,60797146,95121,320,0.000526340496312113,0.000526340496312113,0.114854668348085,0.458266524018819,53.0041111160844,0.864586754440932
"3096",184961,"111",184961,79,60797146,95328,7,1.15136983568275e-05,1.15136983568275e-05,0.00216678268932063,0.531373008173582,82.674843875274,0.642726352135879
"3099",184962,"111",184962,79,60797146,95171,113,0.000185863987760215,0.000185863987760215,0.0284619634972506,0.653025880586803,87.6511122844099,0.745028629491737
"3100",184962,"111C",184962,90,7419931,95075,247,0.00332887192616751,0.00332887192616751,0.0284619634972506,11.6958618350033,87.6511122844099,13.3436547810741
"3102",184964,"111",184964,79,60797146,95157,445,0.000731942252684032,0.000731942252684032,0.69593779753123,0.105173516265466,97.493498985573,0.107877466046253
"3103",184964,"111C",184964,90,7419931,95101,1240,0.0167117457022174,0.0167117457022174,0.69593779753123,2.40132749816157,97.493498985573,2.46306422802296
"3110",184968,"111",184968,79,60797146,95133,4221,0.00694276010916697,0.00694276010916697,1.32533592263802,0.52384908539623,85.1857895816528,0.614948911043558
"3113",184969,"111",184969,79,60797146,95330,42,6.90821901409648e-05,6.90821901409648e-05,0.0174187998319611,0.396595579531309,88.8487439247199,0.446371622166474
"3114",184969,"111C",184969,90,7419931,95090,139,0.00187333278436147,0.00187333278436147,0.0174187998319611,10.7546604957488,88.8487439247199,12.1044598051504
