"ncnesoil30m","MLRA.value","LRU","MLRA.total","Value","Count","percentmlra","mu.total","affinity","best","ofbest","compname","coiid","dmuiid","nationalmusym","muname","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T150_sand","T150_clay","T150_OM","T50_sand","T50_pH","flood","humicdepth","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","Site","Site111"
188181,89,"98A2",4099387,64517,331,0.00807437794967882,0.00862035678716068,93.666400927917,93.666400927917,100,"Rifle",271032,145997,"69tc","Rifle muck",TRUE,95,"histosols","typic medihemists","Euic, mesic Typic Medihemists","very poorly",1,250,250,0,0,90.8333333333333,0,6.5,"none",152,"organic, herbaceous material",,"till plain","yes","no",0,"M2 Mucky Depression","Deep Muck"
188181,89,"98A2",4099387,64517,331,0.00807437794967882,0.00862035678716068,93.666400927917,93.666400927917,100,"Carlisle",290481,145997,"69tc","Rifle muck",FALSE,5,"histosols","typic medisaprists","Euic, mesic Typic Medisaprists","very poorly",1,250,250,0,0,82.5,0,6.19999980926514,"none",152,"organic, herbaceous material",,"till plain & outwash plain & depression & depression","yes","no",0,"M2 Mucky Depression","Deep Muck"
188200,89,"98A2",4099387,64491,1608,0.0392253768673219,0.0659729341728687,59.4567717187471,59.4567717187471,100,"Edwards",290489,146016,"69tz","Tawas muck",FALSE,5,"histosols","limnic medisaprists","Marly, euic, mesic Limnic Medisaprists","very poorly",1,81,250,2.89800008773804,10.8560001754761,50.99,0,6.19999980926514,"none",152,"organic, herbaceous material & marl",,"depression & lake plain","yes","no",0,"M2 Mucky Depression","Limnic Muck"
188200,89,"98A2",4099387,64491,1608,0.0392253768673219,0.0659729341728687,59.4567717187471,59.4567717187471,100,"Tawas",271053,146016,"69tz","Tawas muck",TRUE,90,"histosols","terric medisaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Medisaprists","very poorly",1,81,250,42.3659992980957,2.76,44.665,0,6.19999980926514,"none",81,"organic, woody material & drift",,"depression & lake plain","yes","no",0,"M2 Mucky Depression","Mineral Muck"
188200,89,"98A2",4099387,64491,1608,0.0392253768673219,0.0659729341728687,59.4567717187471,59.4567717187471,100,"Carlisle",290511,146016,"69tz","Tawas muck",FALSE,5,"histosols","typic medisaprists","Euic, mesic Typic Medisaprists","very poorly",1,250,250,0,0,82.5,0,6.19999980926514,"none",152,"organic, herbaceous material",,"till plain & outwash plain & depression & depression","yes","no",0,"M2 Mucky Depression","Deep Muck"
188221,60,"98A1",36997771,64726,650,0.00175686259585746,0.00175686259585746,100,100,100,"Carlisle",290512,146037,"69vn","Willette-Linwood mucks",FALSE,10,"histosols","typic medisaprists","Euic, mesic Typic Medisaprists","very poorly",1,250,250,0,0,82.5,0,6.19999980926514,"none",152,"organic, herbaceous material",,"till plain & outwash plain & depression & depression","yes","no",0,"M2 Mucky Depression","Deep Muck"
188221,60,"98A1",36997771,64726,650,0.00175686259585746,0.00175686259585746,100,100,100,"Linwood",271085,146037,"69vn","Willette-Linwood mucks",TRUE,35,"histosols","terric medisaprists","Loamy, mixed, euic, mesic Terric Medisaprists","very poorly",1,86,250,27.477333984375,7.25333333333333,49.6066666666667,0,6.19999980926514,"none",86,"organic, woody material & lacustrine deposits",,"depression & lake plain","yes","no",0,"M2 Mucky Depression","Mineral Muck"
188221,60,"98A1",36997771,64726,650,0.00175686259585746,0.00175686259585746,100,100,100,"Willette",271084,146037,"69vn","Willette-Linwood mucks",TRUE,55,"histosols","terric medisaprists","Clayey, illitic, euic, mesic Terric Medisaprists","very poorly",1,79,250,3.55,17.9866666666667,43.5683333333333,0,6.69999980926514,"none",79,,,"depression & lake plain","yes","no",0,"M2 Mucky Depression","Mineral Muck"
188491,60,"98A1",36997771,73418,20875,0.0564223179823455,0.0855630025427826,65.9424240683158,65.9424240683158,100,"Palms",2246284,692368,"2t6m2","Houghton muck, disintegration moraine, 0 to 2 percent slopes",FALSE,8,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",0.5,89,250,13.8266666666667,13.42,38.77,0,5.69999980926514,"none",89,"organic, herbaceous material & drift",,"depression & moraine","yes","no",0,"M2 Mucky Depression","Mineral Muck"
188491,60,"98A1",36997771,73418,20875,0.0564223179823455,0.0855630025427826,65.9424240683158,65.9424240683158,100,"Muskego",2246285,692368,"2t6m2","Houghton muck, disintegration moraine, 0 to 2 percent slopes",FALSE,7,"histosols","limnic haplosaprists","Coprogenous, euic, mesic Limnic Haplosaprists","very poorly",0.5,250,250,2.16,14.04,53.4,0,5.80000019073486,"none",200,"organic, herbaceous material & coprogenic material",,"depression & moraine","yes","no",0,"M2 Mucky Depression","Limnic Muck"
